   9.1991178720791602      ,   4.9371253446305730      ,   2.1309962637242936      ,  0.35717703031651560      ,   1.9106344765015351     
   1.4038455737628368      ,   1.2398006362701981      ,   8.2022468746318467E-002 ,   5.2893051089419885E-004 ,   7.4610143412414232E-002
  0.67999314578382197      ,  0.63903137721667846      ,   2.0480884283571754E-002 ,   3.2977204014628114E-005 ,   1.8638503092073933E-002
  0.13263190558268789      ,  0.13099406759237553      ,   8.1891899515618150E-004 ,   5.2722093357715494E-008 ,   7.4536058841090380E-004
   6.6109823016276437E-002 ,   6.5700368461733660E-002 ,   2.0472727727138817E-004 ,   3.2953124673440470E-009 ,   1.8633868408812759E-004
   1.3189118762475971E-002 ,   1.3172740646709258E-002 ,   8.1890578833565542E-006 ,   7.5424111400934635E-012 ,   7.4522672974808302E-006
   6.5925107177804421E-003 ,   6.5884161921587747E-003 ,   2.0472628108336721E-006 ,   2.3607782395629329E-012 ,   1.8629605023079421E-006
   1.3181744931216599E-003 ,   1.3180107059014290E-003 ,   8.1893610115457705E-008 ,   5.0395243533785106E-012 ,   3.3312957725684100E-008
   6.5906680025307196E-004 ,   6.5902582146293298E-004 ,   2.0489395069489547E-008 ,   2.5764279598661233E-011 ,   4.7740216757574672E-007
   1.3181010861096354E-004 ,   1.3180852941907517E-004 ,   7.8959594418392953E-010 ,   4.6771475581408595E-011 ,   1.1846085936184636E-005
   6.5928498287348702E-006 ,   6.5930469901331890E-006 ,   9.8580699159356300E-011 ,   6.4156857604302786E-010 ,   9.9416808181871374E-003
   1.3259517999131276E-006 ,   1.3297016749902468E-006 ,   1.8749375385596068E-009 ,   1.8749375385596068E-009 ,  0.19468279211581674     
   6.3317263254702993E-007 ,   6.6356786021515290E-007 ,   1.5197613834061485E-008 ,   2.5559694805110666E-008 ,  0.42704210167427092     
   1.1802914912095730E-007 ,   5.9606534819067747E-008 ,   2.9211307150944776E-008 ,   3.6612794573898100E-008 ,   8.5982835629154302     
